query_variant,query_template,task,detector,target_source,episodes,success_rate,mean_target_error_l2,no_detection_rate,runner_exception_rate,wrong_detection_rate,iou_mean,iou_hit_010,iou_hit_025,iou_hit_050,iou_hit_075
label_phrase,the {target_label},PickClutterYCB,GroundingDINO,crop_trimmed_median_depth,120,0.0,0.3060590570561722,0.0,0.0,0.9583333333333334,0.037334371604448656,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0
label_phrase,the {target_label},PickClutterYCB,metadata query-aware,crop_median_depth,120,0.65,0.0722701038080457,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
label_phrase,the {target_label},PickClutterYCB,metadata query-aware,crop_trimmed_median_depth,120,0.65,0.0722701038080457,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
label_phrase,the {target_label},PickSingleYCB,GroundingDINO,crop_median_depth,120,0.05,0.3895406881769514,0.0,0.0,0.9333333333333333,0.03987046952645174,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
label_phrase,the {target_label},PickSingleYCB,GroundingDINO,crop_trimmed_median_depth,120,0.05,0.3895406881769514,0.0,0.0,0.9333333333333333,0.03987046952645174,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
label_phrase,the {target_label},PickSingleYCB,metadata query-aware,crop_median_depth,120,0.8416666666666667,0.06304460912726705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
label_phrase,the {target_label},PickSingleYCB,metadata query-aware,crop_trimmed_median_depth,120,0.8416666666666667,0.06304460912726705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
object_label,{target_label},PickClutterYCB,GroundingDINO,crop_median_depth,120,0.0,0.2956315940955305,0.0,0.0,0.9833333333333333,0.02279933908760057,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
object_label,{target_label},PickClutterYCB,GroundingDINO,crop_trimmed_median_depth,120,0.0,0.2956315940955305,0.0,0.0,0.9833333333333333,0.02279933908760057,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
object_label,{target_label},PickClutterYCB,metadata query-aware,crop_median_depth,120,0.65,0.0722701038080457,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
object_label,{target_label},PickClutterYCB,metadata query-aware,crop_trimmed_median_depth,120,0.65,0.0722701038080457,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
object_label,{target_label},PickSingleYCB,GroundingDINO,crop_median_depth,120,0.05,0.3962566362163092,0.0,0.0,0.9333333333333333,0.039924544306888965,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
object_label,{target_label},PickSingleYCB,GroundingDINO,crop_trimmed_median_depth,120,0.05,0.3962566362163092,0.0,0.0,0.9333333333333333,0.039924544306888965,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
object_label,{target_label},PickSingleYCB,metadata query-aware,crop_median_depth,120,0.8416666666666667,0.06304460912726705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
object_label,{target_label},PickSingleYCB,metadata query-aware,crop_trimmed_median_depth,120,0.8416666666666667,0.06304460912726705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
